year,rank,team,pyth,adjusto,adjusto_rank,adjustd,adjustd_rank,adjustt,adjustt_rank,luck,luck_rank,sos_pyth,sos_pyth_rank,sos_oppo,sos_oppo_rank,sos_oppd,sos_oppd_rank,ncsos_pyth,ncsos_pyth_rank,teamid_x
2011,1,ohio saint,0.9824,125.4,2,88.4,10,66.0,213,0.043,72,0.734,26,107.4,17,98.3,46,0.4219,245,
2011,2,duke,0.972,118.8,6,87.2,6,70.1,40,0.006,171,0.7254,31,106.0,34,97.4,19,0.6092,71,1181.0
2011,3,kansas,0.9711,119.8,4,88.3,9,69.6,46,0.071,30,0.6956,42,106.1,33,98.7,59,0.4944,178,1242.0
2011,4,texas,0.9657,114.0,23,85.3,1,67.2,143,-0.055,297,0.708,38,105.6,43,97.8,31,0.5844,85,1400.0
2011,5,purdue,0.9641,116.1,12,87.2,5,67.1,149,-0.004,191,0.7713,13,108.1,13,97.3,14,0.5076,166,1345.0
2011,6,pittsburgh,0.96,119.7,5,90.8,22,63.3,315,-0.003,189,0.7279,28,106.4,29,97.6,23,0.427,239,1338.0
2011,7,wisconsin,0.9549,125.8,1,96.4,73,58.0,344,0.013999999999999999,149,0.7695,14,108.8,9,98.0,36,0.4649,201,1458.0
2011,8,notre dame,0.9505,122.8,3,95.0,58,64.5,274,0.094,14,0.7433,19,107.1,22,97.7,29,0.4196,247,1323.0
2011,8,notre dame,0.9505,122.8,3,95.0,58,64.5,274,0.094,14,0.7433,19,107.1,22,97.7,29,0.4196,247,1323.0
2011,8,notre dame,0.9505,122.8,3,95.0,58,64.5,274,0.094,14,0.7433,19,107.1,22,97.7,29,0.4196,247,1323.0
2011,8,notre dame,0.9505,122.8,3,95.0,58,64.5,274,0.094,14,0.7433,19,107.1,22,97.7,29,0.4196,247,1323.0
2011,8,notre dame,0.9505,122.8,3,95.0,58,64.5,274,0.094,14,0.7433,19,107.1,22,97.7,29,0.4196,247,1323.0
2011,8,notre dame,0.9505,122.8,3,95.0,58,64.5,274,0.094,14,0.7433,19,107.1,22,97.7,29,0.4196,247,1323.0
2011,8,notre dame,0.9505,122.8,3,95.0,58,64.5,274,0.094,14,0.7433,19,107.1,22,97.7,29,0.4196,247,1323.0
2011,8,notre dame,0.9505,122.8,3,95.0,58,64.5,274,0.094,14,0.7433,19,107.1,22,97.7,29,0.4196,247,1323.0
2011,8,notre dame,0.9505,122.8,3,95.0,58,64.5,274,0.094,14,0.7433,19,107.1,22,97.7,29,0.4196,247,1323.0
